//Exported ASCII-File
[Header]
FileName = C:\Messungen......wip
GraphName = MNPs_005_Spec.Data 1 (CRR) (Sub BG)
SizeX = 1
SizeY = 1
SizeGraph = 1650
PositionUnit = �m
PositionX = -0.000844336967005862
PositionY = -0.00250331908302678
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	MNPs_005_Spec.Data 1 (CRR) (Sub BG)
rel. 1/cm	CCD cts
 4.99308E+02	 1.98350E+02
 5.02080E+02	 1.99468E+02
 5.04851E+02	 1.89258E+02
 5.07622E+02	 2.00022E+02
 5.10391E+02	 2.01258E+02
 5.13160E+02	 1.94268E+02
 5.15927E+02	 1.97350E+02
 5.18694E+02	 1.95538E+02
 5.21460E+02	 1.89533E+02
 5.24225E+02	 1.94800E+02
 5.26989E+02	 1.96673E+02
 5.29752E+02	 1.98819E+02
 5.32514E+02	 1.96672E+02
 5.35275E+02	 1.99031E+02
 5.38035E+02	 1.94762E+02
 5.40795E+02	 1.95200E+02
 5.43553E+02	 1.93244E+02
 5.46311E+02	 1.90994E+02
 5.49067E+02	 1.89850E+02
 5.51823E+02	 1.88146E+02
 5.54578E+02	 1.92582E+02
 5.57331E+02	 1.84957E+02
 5.60084E+02	 1.88006E+02
 5.62836E+02	 1.98327E+02
 5.65587E+02	 1.84288E+02
 5.68338E+02	 1.91055E+02
 5.71087E+02	 1.90062E+02
 5.73835E+02	 1.96742E+02
 5.76583E+02	 1.95528E+02
 5.79329E+02	 1.99954E+02
 5.82075E+02	 2.01753E+02
 5.84820E+02	 2.01226E+02
 5.87563E+02	 2.02255E+02
 5.90306E+02	 2.03290E+02
 5.93048E+02	 2.16549E+02
 5.95789E+02	 2.29014E+02
 5.98530E+02	 2.26986E+02
 6.01269E+02	 2.24364E+02
 6.04007E+02	 2.33716E+02
 6.06745E+02	 2.27641E+02
 6.09481E+02	 2.28273E+02
 6.12217E+02	 2.11478E+02
 6.14951E+02	 2.28024E+02
 6.17685E+02	 2.12376E+02
 6.20418E+02	 2.01869E+02
 6.23150E+02	 2.11068E+02
 6.25881E+02	 1.92275E+02
 6.28611E+02	 1.84655E+02
 6.31341E+02	 1.77108E+02
 6.34069E+02	 1.64603E+02
 6.36797E+02	 1.46338E+02
 6.39523E+02	 1.37379E+02
 6.42249E+02	 1.41162E+02
 6.44974E+02	 1.31752E+02
 6.47698E+02	 1.37916E+02
 6.50421E+02	 1.17820E+02
 6.53143E+02	 1.22499E+02
 6.55864E+02	 1.24485E+02
 6.58584E+02	 1.22212E+02
 6.61303E+02	 1.14347E+02
 6.64022E+02	 1.09589E+02
 6.66740E+02	 1.09340E+02
 6.69456E+02	 1.14731E+02
 6.72172E+02	 1.11364E+02
 6.74887E+02	 1.10872E+02
 6.77601E+02	 1.03154E+02
 6.80314E+02	 1.05311E+02
 6.83026E+02	 9.35758E+01
 6.85738E+02	 1.03483E+02
 6.88448E+02	 9.68148E+01
 6.91157E+02	 9.01554E+01
 6.93866E+02	 9.56545E+01
 6.96574E+02	 9.19956E+01
 6.99281E+02	 8.65123E+01
 7.01987E+02	 8.11045E+01
 7.04692E+02	 8.18057E+01
 7.07396E+02	 7.42827E+01
 7.10099E+02	 5.86356E+01
 7.12802E+02	 6.28645E+01
 7.15503E+02	 5.40364E+01
 7.18204E+02	 5.51511E+01
 7.20903E+02	 5.08088E+01
 7.23602E+02	 5.21099E+01
 7.26300E+02	 5.30876E+01
 7.28997E+02	 3.97089E+01
 7.31694E+02	 3.74071E+01
 7.34389E+02	 3.25160E+01
 7.37083E+02	 3.97354E+01
 7.39777E+02	 3.30988E+01
 7.42469E+02	 2.61735E+01
 7.45161E+02	 2.21925E+01
 7.47852E+02	 1.80564E+01
 7.50542E+02	 3.31318E+01
 7.53231E+02	 2.47191E+01
 7.55919E+02	 1.70518E+01
 7.58607E+02	 2.15634E+01
 7.61293E+02	 2.90208E+01
 7.63979E+02	 2.58242E+01
 7.66663E+02	 1.84742E+01
 7.69347E+02	 2.36040E+01
 7.72030E+02	 1.60475E+01
 7.74712E+02	 2.59381E+01
 7.77393E+02	 1.78096E+01
 7.80074E+02	 1.93623E+01
 7.82753E+02	 2.31965E+01
 7.85432E+02	 1.67126E+01
 7.88109E+02	 1.36445E+01
 7.90786E+02	 1.07592E+01
 7.93462E+02	 9.15674E+00
 7.96137E+02	 1.17712E+01
 7.98811E+02	 1.69700E+01
 8.01484E+02	 1.56532E+01
 8.04157E+02	 1.10881E+01
 8.06828E+02	 1.12422E+01
 8.09499E+02	 1.44158E+01
 8.12169E+02	 1.70763E+01
 8.14838E+02	 9.95789E+00
 8.17506E+02	-1.17249E+00
 8.20173E+02	 1.55322E+00
 8.22839E+02	-2.56458E+00
 8.25505E+02	-6.62476E+00
 8.28169E+02	-5.99316E+00
 8.30833E+02	 9.79004E-02
 8.33496E+02	-8.21716E+00
 8.36158E+02	 8.63159E-01
 8.38819E+02	-4.55994E+00
 8.41479E+02	-9.60095E+00
 8.44138E+02	-5.94031E+00
 8.46797E+02	-5.21545E+00
 8.49454E+02	 1.22681E-01
 8.52111E+02	-1.03270E+01
 8.54767E+02	 3.53064E+00
 8.57422E+02	-5.10156E+00
 8.60076E+02	-1.19055E+00
 8.62729E+02	 1.56409E+00
 8.65382E+02	 6.52905E+00
 8.68033E+02	 3.33765E+00
 8.70684E+02	 5.49048E+00
 8.73334E+02	 4.08728E+00
 8.75983E+02	 9.49536E+00
 8.78631E+02	 1.02478E+01
 8.81278E+02	 4.71155E+00
 8.83924E+02	 7.45361E+00
 8.86570E+02	-2.58911E-01
 8.89215E+02	 1.73743E+00
 8.91858E+02	 4.24536E+00
 8.94501E+02	 3.10059E-02
 8.97143E+02	 2.28271E-01
 8.99785E+02	-8.96240E-01
 9.02425E+02	-4.90906E+00
 9.05064E+02	-8.54297E+00
 9.07703E+02	 1.45020E-01
 9.10341E+02	-7.20923E+00
 9.12978E+02	-5.13245E+00
 9.15614E+02	-3.23962E+00
 9.18249E+02	-5.54639E+00
 9.20883E+02	-6.02625E+00
 9.23517E+02	-1.10380E+01
 9.26149E+02	-2.03821E+00
 9.28781E+02	-2.93774E+00
 9.31412E+02	-3.17065E+00
 9.34042E+02	-5.59790E+00
 9.36672E+02	 9.28467E-01
 9.39300E+02	-8.58643E-01
 9.41927E+02	-5.13843E+00
 9.44554E+02	 4.25854E+00
 9.47180E+02	 2.84363E+00
 9.49805E+02	 2.11646E+00
 9.52429E+02	 8.90955E+00
 9.55052E+02	 9.48889E+00
 9.57675E+02	-1.16796E+01
 9.60296E+02	 9.47070E+00
 9.62917E+02	 5.90527E+00
 9.65537E+02	 7.82410E+00
 9.68156E+02	 9.82642E+00
 9.70774E+02	 8.64526E+00
 9.73391E+02	 1.06467E+01
 9.76008E+02	 1.34639E+01
 9.78624E+02	 2.52966E+00
 9.81238E+02	-2.28967E+00
 9.83852E+02	-2.12781E+00
 9.86465E+02	 5.98145E+00
 9.89078E+02	 7.71362E-01
 9.91689E+02	-3.52515E+00
 9.94300E+02	-2.70837E+00
 9.96909E+02	-3.11890E-01
 9.99518E+02	 9.63989E-01
 1.00213E+03	-6.80908E-01
 1.00473E+03	-7.46826E-01
 1.00734E+03	-9.42456E+00
 1.00995E+03	-7.45203E+00
 1.01255E+03	-3.82617E+00
 1.01515E+03	-4.39026E+00
 1.01776E+03	-7.76782E+00
 1.02036E+03	-1.40869E+00
 1.02296E+03	-1.67615E+00
 1.02556E+03	 4.38879E+00
 1.02816E+03	 2.20304E+01
 1.03076E+03	-1.45203E+01
 1.03336E+03	-7.58545E-01
 1.03595E+03	-3.22998E-01
 1.03855E+03	-4.51660E-03
 1.04115E+03	 4.02710E+00
 1.04374E+03	-5.76501E+00
 1.04633E+03	 9.30542E-01
 1.04893E+03	-7.27832E+00
 1.05152E+03	 1.53723E+00
 1.05411E+03	-5.12732E+00
 1.05670E+03	 5.73914E+00
 1.05929E+03	 8.66577E-01
 1.06188E+03	 2.76221E+00
 1.06447E+03	 3.88672E+00
 1.06706E+03	-3.63110E+00
 1.06964E+03	-5.56030E-01
 1.07223E+03	 4.11475E+00
 1.07481E+03	-4.98901E-01
 1.07740E+03	-8.38013E-01
 1.07998E+03	-2.47888E+00
 1.08256E+03	-4.70203E+00
 1.08514E+03	-4.68933E+00
 1.08772E+03	-7.57385E+00
 1.09030E+03	-3.06934E+00
 1.09288E+03	-4.74243E+00
 1.09546E+03	 7.15027E+00
 1.09804E+03	-1.97852E+00
 1.10061E+03	 3.15063E-01
 1.10319E+03	-2.89185E-01
 1.10576E+03	-3.01794E+00
 1.10834E+03	-1.29114E+00
 1.11091E+03	-2.19727E+00
 1.11348E+03	 1.97961E+00
 1.11605E+03	-7.15015E+00
 1.11862E+03	 6.54370E+00
 1.12119E+03	 1.28472E+01
 1.12376E+03	 3.28503E+00
 1.12633E+03	 1.63855E+00
 1.12890E+03	 7.32385E+00
 1.13147E+03	 5.44751E+00
 1.13403E+03	 8.48706E+00
 1.13660E+03	-3.54004E-02
 1.13916E+03	-2.30945E+00
 1.14172E+03	 6.25171E+00
 1.14429E+03	-2.65039E+00
 1.14685E+03	-2.36646E+00
 1.14941E+03	-4.11548E+00
 1.15197E+03	-2.54077E+00
 1.15453E+03	-2.49963E+00
 1.15709E+03	-5.25146E-01
 1.15964E+03	-1.05837E+01
 1.16220E+03	 3.20154E+00
 1.16476E+03	-3.72583E+00
 1.16731E+03	 9.85107E-01
 1.16986E+03	 1.81250E+00
 1.17242E+03	-2.10144E+00
 1.17497E+03	-9.96826E-01
 1.17752E+03	 2.32996E+00
 1.18007E+03	-6.74268E+00
 1.18262E+03	-1.09937E+00
 1.18517E+03	 3.64673E+00
 1.18772E+03	 1.12964E+01
